Example,Delivery Rate_mean,Delivery Rate_std_dev,human_score,human_discriminator_score,llm_discriminator_score,Commonsense Constraint Micro Pass Rate_mean,Commonsense Constraint Micro Pass Rate_std_dev,Commonsense Constraint Macro Pass Rate_mean,Commonsense Constraint Macro Pass Rate_std_dev,Hard Constraint Micro Pass Rate_mean,Hard Constraint Micro Pass Rate_std_dev,Hard Constraint Macro Pass Rate_mean,Hard Constraint Macro Pass Rate_std_dev,Final Pass Rate_mean,Final Pass Rate_std_dev
example_14,1,0,4,0,84.2,0.679040404,0.09998369772,0.1080808081,0.06201641814,0.15,0.1014124126,0.09747474747,0.06188053896,0.0303030303,0.02001173006
example_5,1,0,0,0.48,76.2,0.6844444444,0.1475707353,0.1188888889,0.08975962413,0.1804761905,0.1411758203,0.11,0.0864527274,0.03111111111,0.02867441756
example_9,1,0,2,0,91.6,0.6845486111,0.116703734,0.1131944444,0.07135902423,0.1699404762,0.1125169268,0.1090277778,0.06837721604,0.03125,0.02272648357
example_19,1,0,2,0.95,67.5,0.7183531746,0.1162824107,0.1238095238,0.06269338939,0.1741496599,0.1011148463,0.1047619048,0.05676684045,0.02976190476,0.01825828106
example_23,1,0,10,0.46,88.8,0.7343545752,0.1110442297,0.1405228758,0.06749928604,0.2086834734,0.1183084649,0.1261437908,0.06919929818,0.02973856209,0.01660568107
example_28,1,0,7,1.73,88.1,0.7476388889,0.107159191,0.1591666667,0.07676473197,0.239047619,0.1309467531,0.1391666667,0.07096066986,0.03444444444,0.01897041231
example_34,1,0,7,1.58,77.1,0.7611413043,0.1058335787,0.1606280193,0.07198797097,0.2423395445,0.1224904983,0.1391304348,0.06655542774,0.03599033816,0.01815936824
example_40,1,0,12,1.79,73.4,0.7715010684,0.1035930576,0.1717948718,0.07453437413,0.2597985348,0.1249826901,0.1455128205,0.06506296225,0.04038461538,0.02110198252
example_42,1,0,10,3.31,84.6,0.7753591954,0.09874687458,0.1775862069,0.07273590909,0.2721674877,0.1239532818,0.1526819923,0.06527312186,0.04310344828,0.02157363722
example_36,1,0,7,2.39,83.2,0.843287037,0.003859567593,0.2037037037,0.01717336758,0.3261904762,0.006734350297,0.08148148148,0.01141558149,0.02592592593,0.002618914004
